"Name","Description","Location"
"spher.f","A software code computes the Legendre expansion coefficients for polydisperse spherical particles using the standard Lorenz-Mie theory. Written in Fortran..","http://www.giss.nasa.gov/staff/mmishchenko/brf/"
"HIBAL","A hydrologic isotopic balance modeling software for paleolake systems..","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/softlib/hibal/hibal.txt"
"Data Thief","Software to reverse engineer data points from a graph (pulls data from graph). Scan a graph from a publication, load it, and save the resulting coordinates, so you can use them in calculations or graphs that include your own data..","http://www.datathief.org/"
"Greenland and ANTarctic Ice Sheet Model (GRANTISM)","An educational, regional, numerical modeling software of the Greenland and Antarctica ice sheet, programmed in Microsoft Excel and is approximately 100 Kb in size. The model allows the user to simulate both ice sheets along a central flow line, as a function of the background temperature, and hen...","http://homepages.ulb.ac.be/~fpattyn/grantism/welcome.html"
"JULES","A community land surface modeling software that is used both as a standalone model and as the land surface component in the Met Office Unified Model. By allowing different land surface processes (surface energy balance, hydrological cycle, carbon cycle, dynamic vegetation, etc.) to interact with ...","https://jules.jchmr.org/"
"GPlates 1.4","Software application offering interactive plate tectonic reconstructions, GIS functionality, and raster data visualization. The user can manipulate plate tectonic reconstructions and associated data through geological time. Gplates runs on Windows, Linux, and MacOS X..","http://www.gplates.org/"
"CCSM Parallel Ocean Program version 3.0 (POP)","An ocean circulation modeling software in which depth is used as the vertical coordinate. The model solves the three-dimensional primitive equations for fluid motions on the sphere under hydrostatic and Boussinesq approximations. Spatial derivatives are computed using finite-difference discretiza...","http://www.cesm.ucar.edu/models/ccsm3.0/pop/"
"OASIS","A coupling software allowing synchronized exchanges of coupling information between numerical codes representing different components of the climate system..","https://verc.enes.org/models/software-tools/oasis"
"CAM3 Atmosphere Model (CCSM) 3.1","The atmospheric component of CCSM is the Community Atmosphere Model (CAM) software. It can stand alone, and has a 256x128 regular longitude/latitude global horizontal grid (giving a 1.4 degree resolution). It has 26 levels in the vertical.[8].","http://www.cesm.ucar.edu/models/atm-cam/"
"Moist PUMA","A modeling software that is the dynamical core of the climate model PlanetSimulator and it is based on the multi-level spectral hydrostatic model. Model fields are represented in terms of spherical harmonics subject to a triangular truncation and the spectral transform method enables an efficient...","https://earthsystemcog.org/projects/dcmip-2012/puma"
"VECTRI","A mathematic dynamical modeling program for malaria transmission that accounts for the impact of climate variability and population..","http://www.ictp.it/research/esp/models/vectri.aspx"
"ocean.shadow.f","A software code that calculates the Stokes reflection matrix for illumination from above for a statistically rough surface separating two half-spaces with different refractive indices. The effect of shadowing is included. .","http://www.giss.nasa.gov/staff/mmishchenko/brf/"
"TM5","A global atmospheric chemistry transport modeling software, with the unique capability to zoom over specific areas. The model is off-line and uses input from the ECMWF model. Several versions of the model exist for various applications ranging from 4D-var data-assimilation to the study of aerosol...","http://tm5.sourceforge.net/"
"Community Ice Sheet Model (CISM)","An ice sheet modeling software that is being used to simulate ice sheet evolution and sea level rise in a warming climate. It is the ice sheet component of the Community Earth System Model..","http://oceans11.lanl.gov/drupal/CISM"
"sov2tsm3","Software that converts strung-out-vector to time series matrix. Code written in MatLab for another script, may require necessary call name substitution..","http://www.ltrr.arizona.edu/~dmeko/mfiles1.html"
"TRiCYCLE","A standalone desktop software application for converting between any one of 25 different dendrochronological data file formats. Version 0.2.8, updated April 2014, for Windows 8/7/Vista/XP/2000..","http://www.tridas.org/tricycle"
"MODTRAN5","A "narrow band" atmospheric radiative transfer modeling software. It models the atmosphere as stratified, and its constituent profiles, both molecular and particulate, may be defined either using built-in models or by user-specified vertical profiles. The spectral range extends from the UV into t...","http://www.modtran5.com/"
"MATStrat","Software for generating publication-quality stratigraphic plots and enables quantitative analysis of stratigraphic data. Software is a stratigraphic toolkit for MatLab which is freely available to the scientific community..","http://matstrat.princeton.edu/"
"National Carbon Sequestration Database and Geographic Information System","Software tool that enables the user to a view of carbon capture and storage potential. The new interactive viewer shows disparate data (CO2 stationary sources, potential geologic CO2 storage formations, infrastructure, etc.) and analytical tools (pipeline measurement, storage resource estimation,...","http://www.netl.doe.gov/technologies/carbon_seq/natcarb/index.html"
"ECHAM6","An atmospheric general circulation model that also includes an advanced treatment of the terrestrial biosphere. JSBACH model is embedded within the ECHAM6 model, which is a component model of MPI..","http://www.mpimet.mpg.de/en/science/models/echam.html"
"Modular Ocean Model (MOM) 5.0","A numerical ocean model software based on the hydrostatic primitive equations..","http://mdl-mom5.herokuapp.com/web"
"MODIS Interactive Subsetting Tool (MIST)","Analytical software program that finds Version 5 (V005) MODIS data products over the Greenland Climate Network (GC-Net) and the International Arctic Systems for Observing the Atmosphere (IASOA) stations. MIST also provides limited online analysis capabilities that include generating time series a...","http://nsidc.org/data/mist/index.html"
"open_data_assimilation","Generic data-assimilation software toolbox written in java, with native (c and Fortran) libraries for high performance computing. It provides tools to couple to your own model and a wide range of algorithms, ranging from parameter calibration to Kalman filters..","http://www.openda.org/joomla/index.php"
"Community Land Model version 3.0 (CLM3.0)","A modeling software that formalizes and quantifies concepts of ecological climatology for inclusion in the Community Climate System Model.  Specific processes that are represented include: vegetation composition, structure, and phenology, absorption, reflection, and transmittance of solar radiati...","http://www.cesm.ucar.edu/models/ccsm3.0/clm3/"
"EarthTime","An international community-based database for sequencing Earth history by integration of high-precision geochronology and quantitative chronostratigraphy.","http://www.earth-time.org/"
"Bidirectional Reflection","A Fortran software code for computing bidirectional reflection for a semi-infinite homogenous slab composed of arbitrarily shaped, randomly oriented particles..","http://www.giss.nasa.gov/staff/mmishchenko/brf/"
"UV-CDAT","An open-source software application project for analyzing, diagnosing, visualizing data for model-intercomparison projects' observation output, and very high-resolution climate-model simulations. It links together disparate software subsystems and packages, for integrated analysis and visualizati...","http://www2-pcmdi.llnl.gov/cdat"
"PyNGL","A Python language software module used to visualize scientific data, with an emphasis on high quality 2D visualizations. A working knowledge of Python is assumed. .","http://www.pynio.ucar.edu/newusers.shtml"
"LOVECLIM CLIO","A primitive-equation, free-surface ocean general circulation modeling software coupled to a thermodynamic–dynamic sea-ice model..","http://www.elic.ucl.ac.be/repomodx/elic/index.php?id=82"
"GeoChemical Data Toolkit (GCDkit)","A software system for handling and recalculation of whole-rock analyses from igneous rocks. It is written in R, a language and environment for statistical computing and graphics. .","http://www.gcdkit.org/"
"Goddard Institute for Space Studies (GISS) GCM ModelE","A coupled atmosphere-ocean software model that provides the ability to simulate many different configurations of Earth System Models - including interactive atmospheric chemistry, aerosols, carbon cycle and other tracers, as well as the standard atmosphere, ocean, sea ice and land surface compone...","http://www.giss.nasa.gov/tools/modelE/"
"JSBACH","A climate model software that provides the lower atmospheric boundary conditions over land, as well as the biogeochemical and biogeophysical degrees of freedom to the Earth system dynamics that arise from terrestrial processes..","http://www.mpimet.mpg.de/en/science/models/jsbach.html"
"Time Scale Creator","A software package that enables exploration and creation of charts of any portion of the geologic time scale. Encompasses events including: biologic, geomagnetic, sea-level, stable isotope, and more..","http://engineering.purdue.edu/Stratigraphy/tscreator/index/index.php"
"MPI-ESM","An Earth-System Software Model that couples the ocean, atmosphere and land surface through the exchange of energy, momentum, water and trace gases such as CO2..","http://www.mpimet.mpg.de/en/wissenschaft/modelle.html"
"Ferret","An interactive computer visualization and analysis software environment designed to analyze large and complex gridded data sets, and analyze the outputs of its numerical ocean models and compare them with gridded, observational data. It runs on most Unix systems, and on Windows XP/NT/9x using X w...","http://ferret.wrc.noaa.gov/Ferret/"
"Parallel Ice Sheet Model","An open source, parallel, high-resolution ice sheet model featuring a hierarchy of available stress balances, marine ice sheet physics, dynamic calving fronts, polythermal, enthalpy-based conservation of energy scheme, subglacial hydrology and till model, extensible coupling to atmospheric and oc...","http://www.pism-docs.org/wiki/doku.php?id=home"
"pMELTS","A software code for the calibration of the liquid thermodynamic model in MELTS (http://melts.ofm-research.org/) and is optimized for mantle bulk compositions. pMELTS is calibrated from an extended experimental database that includes more extensive data at elevated pressure. pMELTS is optimized fo...","http://melts.ofm-research.org/"
"climgram","Software that creates climatogram. Code written in MatLab for another script, may require necessary call name substitution..","http://www.ltrr.arizona.edu/~dmeko/mfiles1.html"
"Community Climate System Model (CCSM)","A coupled global  climate modeling software. The coupled components include an atmospheric model (Community Atmosphere Model), a land-surface model (Community Land Model), an ocean model (Parallel Ocean Program), and a sea ice model (Community Sea Ice Model).[2] CCSM is maintained by the National...","http://www2.cesm.ucar.edu/"
"figsize","Software that adjusts figure-window pixel positions from specified fractional screen-width and screen-height. Code written in MatLab for another script, may require necessary call name substitution..","http://www.ltrr.arizona.edu/~dmeko/mfiles1.html"
"Simplified Parameterizations, privitivE-Equation Dynamics (SPEEDY)","A hydrostatic, s-coordinate, spectral-transform modeling software in the vorticity-divergence form, with semi-implicit treatment of gravity waves..","http://www.ictp.it/research/esp/models/speedy.aspx"
"Autocomp 2.3","Software uses output of Match 2.3.1 software to construct composite depth sections for marine sediment cores. Functional with both gapped and gap-free data. Runs in MatLab..","http://lorraine-lisiecki.com/match.html"
"Image J","Software used for the analysis of images. Software is written in Java, which allows it to run on Linux, Mac OS and Windows, in both 32-bit and 64-bit modes..","http://rsb.info.nih.gov/ij/index.html"
"corrone","Software that creates product-moment correlations of one variable with several others. Code written in MatLab for another script, may require necessary call name substitution..","http://www.ltrr.arizona.edu/~dmeko/mfiles1.html"
"GISP2-GICC05 Chronology Conversion Software Page","An automated mathematical function that updates GISP2-based chronologies to the newer, NGRIP GICC05 age scale between 8.24 and 103.74 ka b2k.  MatLab (file g2n.m) and python (stored in compressed file g2n-python.zip) versions are included, plus tie point data input files in text, Excel, or MatLab...","http://www.ncdc.noaa.gov/paleo/study/15536"
"University of Victoria Earth System Climate Model (Uvic ESCM) 2.9","A global climate software model including parameters such as albedo, carbon, ocean biology and chemistry, atmospheric transport, outgoing long wave radiation, precipitation, Dalton number, ocean parameters, ice, vegetation, and more..","http://wikyonos.seos.uvic.ca/model/"
"CSDMS - Community Surface Dynamic Modeling system","Software that allows you to run and couple CSDMS model components through the web.  This tool is a way of communicating with the CSDMS supercomputer. Scripts and commands constantly go back and forth between the CMT on the users computer and the HPCC. Since the HPCC needs secure access, the user ...","http://csdms.colorado.edu/wiki/Portal_getting_started_with_CMT"
"GloSea5","An ensemble climate prediction system built around the high resolution version of the HadGEM3 atmosphere-ocean coupled climate model. It has increased horizontal resolution: GloSea5 uses the N216 version (0.8 degrees in latitude and 0.5 degrees in longitude, which is approx. 50 km in mid-latitude...","http://www.metoffice.gov.uk/research/modelling-systems/unified-model/climate-models/glosea5"
"BIOME4","A coupled biogeography and biogeochemistry modeling software which simulates the equilibrium distribution of 28 major potential natural vegetation types (biomes) from latitude (for the calculation of incoming short-wave and photosynthetically active solar radiation), atmospheric CO2 concentration...","http://pmip2.lsce.ipsl.fr/synth/biome4.shtml"
"nonan1","Software that finds longest continuous block of a time series matrix without missing data.  Code written in MatLab for another script, may require necessary call name substitution..","http://www.ltrr.arizona.edu/~dmeko/mfiles1.html"
"DendroClim 2002","A statistical software tool for analysis of evolutionary and moving intervals in dendroclimatology. It involves implementation of bootstrapped correlation and response functions to identify climatic signals in tree rings. The software allows the analysis of a single time period (or interval) as w...","http://dendrolab.org/dendroclim2002.htm"
"FAMOUS (Fast Met Office UK Universities Simulator)","A modeling software that tis a fast Earth-system model, built around general circulation models of the atmosphere and ocean. It is low resolution by design so that long time scales can be modelled more effectively..","http://www.famous.ac.uk/index.php/Main/About"
"CharAnalysis","A software package of diagnostic and analytical tools for sediment-charcoal analysis to help reconstruct fire history from lake sediment records. Codes are provided in MatLab and are Windows compatible with data and README file in the zip folder..","https://sites.google.com/site/charanalysis/"
"pmat.R","A software script for whitespace/restructuring data. Code written in R for another script, may require necessary call name substitution..","https://github.com/cszang/bootRes/blob/master/R/pmat.R"
"Rhyolite-MELTS","A software program identical to the MELTS (http://melts.ofm-research.org/) calibration, except that the enthalpies of formation of both quartz and end member KAlSi3O8 in feldspar solid solution have been adjusted..","http://melts.ofm-research.org/"
"GPD Viewer","An IDL Catalyst Library imaging/visualization program that can be used to interactively visualize and create Grid Parameter Definition (GPD) files. .","http://www.idlcoyote.com/map_tips/gpdviewer.html"
"Hadley Centre Atmospheric Model version 3 (HadAM3)","A grid point atmospheric modeling software with a horizontal resolution of 3.75 × 2.5 degrees in longitude × latitude, giving 96 × 73 grid points on the scalar (pressure, temperature and moisture) grid; the vector (wind velocity) grid is offset by 1/2 a grid box, giving a resolution of approximat...","http://www.metoffice.gov.uk/research/modelling-systems/unified-model/climate-models/hadcm4"
"Massechussets Institute of Technology General Circulation Model (MITgcm)","A numerical modeling software designed for study of the atmosphere, ocean, and climate. Its non-hydrostatic formulation enables it to simulate fluid phenomena over a wide range of scales; its adjoint capability enables it to be applied to parameter and state estimation problems. By employing flui...","http://mitgcm.org/"
"Hadley Centre Slab Model version 3 (HadSM3)","An atmospheric modeling software that can be coupled to rather than the full dynamic HadOM3 model in order to save time and memory. It lacks dynamical feedbacks from the ocean, which are incorporated into the full coupled ocean–atmosphere models used to make projections of climate change out to 2...","http://www.metoffice.gov.uk/research/modelling-systems/unified-model/climate-models/hadcm6"
"Aquatic Realtime Management System (ARMS)","A decision support software system to aid managers and operators of surface water bodies (reservoirs, lakes, rivers, estuaries, coastal oceans). Its purpose is to provide an automated software system that requires minimal maintenance to monitor and forecast the conditions of surface water resourc...","http://www.cwr.uwa.edu.au/software1/models1.php?mdid=1"
"Estuary and Lake COmputer Model (ELCOM)","A numerical modeling software tool that applies hydrodynamic and thermodynamic models to simulate the temporal behavior of stratified water bodies with environmental forcing. .","http://www.cwr.uwa.edu.au/software1/models1.php?mdid=5"
"Mars24","A Java software application which displays a Mars sun clock, a graphical representation of the planet Mars showing its current sun- and night sides, along with a numerical readout of the time in 24-hour format. Other displays include a plot showing the relative orbital positions of Mars and Earth...","http://www.giss.nasa.gov/tools/mars24/"
"stratigraph","Software package for the plotting and analysis of stratigraphic data. It is a collection of tools for plotting and analyzingpaleontological and geological data distributed throughtime in stratigraphic cores or sections..","http://cran.r-project.org/web/packages/stratigraph/stratigraph.pdf"
"OPENDTECT","Software for interpreting 2D and 3D seismic data. Software is a development platform that is open source and a C++ coding. .","http://www.opendtect.org/"
"Rneotoma","Software that is intended to both allow users to search for sites and to download data for use in analytical workflows of paleoecological research. It is a programmatic R interface to the Neotoma Paleoecological Database..","https://github.com/ropensci/neotoma"
"DYRESM","A one-dimensional hydrodynamics modeling software for predicting the vertical distribution of temperature, salinity and density in lakes and reservoirs. It is assumed that the water bodies comply with the one-dimensional approximation in that the destabilizing forcing variables (wind, surface coo...","http://www.cwr.uwa.edu.au/software1/models1.php?mdid=2"
"SequenceStratColumn 1.0","A software program that creates stratigraphic charts from tab-delimited text spreadsheet data. Syntax specifications are included for ASCII text file information organization..","http://www.pazsoftware.com/SequenceStratColumn.html"
"dirfiles","Software that creates list of files with specified suffix. Code written in MatLab for another script, may require necessary call name substitution..","http://www.ltrr.arizona.edu/~dmeko/mfiles1.html"
"DICE","A climate modeling software that integrates in an end-to-end fashion the economics, carbon cycle, climate science, and impacts in a highly aggregated model that allows a weighing of the costs and benefits of taking steps to slow greenhouse warming..","http://serc.carleton.edu/sp/library/simulations/examples/example10.html"
"Pyleoclim","Python Package for the Analysis of Paleoclimate Data","https://github.com/LinkedEarth/Pyleoclim_util"
"Atlantic Abyssal Circulation Model Code","A Fortran software code that has been run using F90, that allows one to conduct at least two tasks: -to produce an estimate of the abyssal circulation in the Atlantic Ocean by combining hydrographic observations and a finite difference circulation model. .","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/softlib/abyssal-circ/"
"wtsgaus","Software that weights for Gaussian filter with specified frequency response. Code written in MatLab for another script, may require necessary call name substitution..","http://www.ltrr.arizona.edu/~dmeko/mfiles1.html"
"GeoMapApp","Software for exploration and visualization of the Matine Geoscience Data System (MGDS). The application runs in the Windows XP, Windows Vista, Windows 7, Windows 8, Mac OS (10.4, 10.5, 10.6, 10.7, 10.8, 10.9), Linux and Solaris operating systems using the Java Runtime Environment (requires versio...","http://www.geomapapp.org/"
"conop","Software for stratigraphic correlation and seriation. .","http://www.paleosoc.org/shortcourse2010/downloadingCONOP9.pdf"
"Data-Interpolating Variational Analysis (DIVA)","A software package that allows for the spatial interpolation of data (analysis) in an optimal way. In comparison to optimal interpolation (OI),  DIVA takes into account coastlines, sub-basins, and advection. Tools are also provided to optimize the parameters of the analysis, as well as to generat...","http://modb.oce.ulg.ac.be/mediawiki/index.php/DIVA"
