"Name","Description","Location"
"GIPL","GIPL(Geophysical Institute Permafrost Laboratory) is an implicit finite difference one-dimensional heat flow numerical model. The GIPL model uses the effect of snow layer and subsurface soil thermal properties to simulate ground temperatures and active layer thickness (ALT) by solving the 1D heat...","https://github.com/csdms-contrib/gipl"
"SETTLE","Calculates the constant terminal settling velocity of each size-density fraction's median size from Dietrich's equation.","https://github.com/csdms-contrib/midas"
"SedBerg","The model simulates the formation, drift, and melt of a population of icebergs utilizing Monte Carlo based techniques with a number of underlying parametric probability distributions to describe the stochastic behavior of iceberg formation and dynamics.","https://github.com/csdms-contrib/sedberg"
"DLBRM","The DLBRM is a distributed, physically based, watershed hydrology model that subdivides a watershed into a 1 km2 grid network and simulates hydrologic processes for the entire watershed sequentially.","http://www.glerl.noaa.gov/wr/lbrmexamples.html"
"DeltaSIM","A process-response model simulating the evolution and stratigraphy of fluvial dominated deltaic systems in two dimensions, based on simple approximations of erosion and deposition. The model is called DELTASIM, and was initially presented by Overeem et al. (2003) as AQUATELLUS. DELTASIM has sever...","https://github.com/csdms-contrib/deltasim"
"Plume","Run a hypopycnal sediment plume","https://github.com/mcflugen/sedflux"
"FLDTA","Calculates the flow velocity and depth based on the gradually varied flow equation of an open channel.","https://github.com/csdms-contrib/midas"
"LOGDIST","Calculates the logrithmic velocity distribution called from TRCALC","https://github.com/csdms-contrib/midas"
"Princeton Ocean Model (POM)","The Princeton Ocean Model (POM), a simple-to-run yet powerful ocean modeling code that is able to simulate a wide-range of problems: circulation and mixing processes in rivers, estuaries, shelf and slope, lakes, semi-enclosed seas and open and global ocean. POM is a sigma coordinate, free surface...","http://www.aos.princeton.edu/WWWPUBLIC/htdocs.pom/FTPbackup/"
"GEOMBEST-Plus","“GEOMBEST-Plus” (Geomorphic Model of Barrier, Estuarine, and Shoreface Translations) is a new morphological-behaviour model that simulates the evolution of coastal morphology and stratigraphy, resulting from changes in sea level, and sediment volume within the shoreface, barrier and estuary. GEOM...","https://github.com/csdms-contrib/geombest-plus"
"CHILD","CHILD computes the time evolution of a topographic surface z(x,y,t) by fluvial and hillslope erosion and sediment transport.","https://github.com/childmodel/child"
"DrEICH algorithm","This tool uses chi river profile analysis to predict channel head locations across a landscape and therefore allow the extraction of river networks. It is most suitable for use with high resolution LiDAR (1m) DEMs. The model requires an input DEM in float format and will output the extracted chan...","https://github.com/csdms-contrib/dreich_algorithm"
"ELCIRC","ELCIRC is an unstructured-grid model designed for the effective simulation of 3D baroclinic circulation across river-to-ocean scales. It uses a finite-volume/finite-difference Eulerian-Lagrangian algorithm to solve the shallow water equations, written to realistically address a wide range of phys...","http://www.ccalmr.ogi.edu/CORIE/modeling/elcirc/"
"FineSed3D","A turbulence-resolving numerical model for fine sediment transport in the bottom boundary layer is developed. A simplified Eulerian two-phase flow formulation for the fine sediment transport is adopted. By applying the equilibrium Eulerian approximation, the particle phase velocity is expressed a...","https://github.com/csdms-contrib/finesed3d"
"SIBERIA","SIBERIA simulates the evolution of landscapes under the action of runoff and erosion over long times scales.","https://github.com/csdms-contrib/siberia"
"NEXRAD-extract","A Python tool for extracting and/or plotting data from the NEXRAD (WSR-88D) Doppler weather radar network operated by the US National Weather Service. This can be used for inputs to models that require a meteorologic component.","https://github.com/awickert/nexrad-extract"
"TauDEM","TauDEM provides the following capability: 

•Development of hydrologically correct (pit removed) DEMs using the flooding approach

•Calculates flow paths (directions) and slopes

•Calculates contributing area using single and multiple flow direction methods

•Multiple methods for the delineation ...","http://hydrology.usu.edu/taudem"
"Bio","Biogenic mixing of marine sediments","https://github.com/mcflugen/sedflux"
"FVCOM","FVCOM is a prognostic, unstructured-grid, finite-volume, free-surface, 3-D primitive equation coastal ocean circulation model developed by UMASSD-WHOI joint efforts. The model consists of momentum, continuity, temperature, salinity and density equations and is closed physically and mathematically...","http://fvcom.smast.umassd.edu/FVCOM/Source/code.htm"
"SELFE","SELFE is a new unstructured-grid model designed for the effective simulation of 3D baroclinic circulation across river-to-ocean scales. It uses a semi-implicit finite-element Eulerian-Lagrangian algorithm to solve the shallow water equations, written to realistically address a wide range of physi...","http://www.stccmop.org/CORIE/software/selfe/recent.html"
"WINDSEA","This subroutine computes the deep water significant wave height and period at each point under a hurricane","https://github.com/csdms-contrib/windsea"
"SLEPIAN Delta","Routines pertaining to the paper published as: doi: 10.1073/pnas.1206785109","https://github.com/csdms-contrib/slepian_delta"
"MICOM","MOCOM is a primitive equation numerical model that describes the evolution of momentum, mass, heat and salt in the ocean.","http://www.knmi.nl/onderzk/CKO/micom-standard.html"
"Pllcart3d","Nonlinear three dimensional simulations of miscible Hele-Shaw flows using DNS of incompressible Navier-Stokes and transport equations.","https://github.com/csdms-contrib/pllcart3d"
"ThawLake1D","This model a 1-D numerical model of permafrost and subsidence processes. 
It aims to investigate the subsurface thermal impact of thaw lakes of various depths, and to evaluate how this impact might change in a warming climate.","https://github.com/csdms-contrib/thawlake1d"
"Gc2d","Models the growth and evolution of valley glaciers and ice sheets","https://github.com/csdms-contrib/gc2d"
"Bing","Run a submarine debris flow","https://github.com/mcflugen/sedflux"
"NUBBLE","This is a time-stepping point model which uses linear finite elements to determine the vertical structure of the horizontal components of velocity and density under specified surface forcing. Both a quadratic closure scheme and the level 2.5 closure scheme of Mellor and Yamada are used in this code.","http://www-nml.dartmouth.edu/Software/nubble/"
"Bedrock Erosion Model","Initial metadata was retrieved from http://csdms.colorado.edu/wiki/Model:Bedrock_Erosion_Model","https://github.com/csdms-contrib/bedrock_erosion_model"
"Flex2D","Initial metadata was retrieved from http://csdms.colorado.edu/wiki/Model:Flex2D","https://github.com/csdms-contrib/flex2d"
"GISS GCM ModelE","ModelE is the GISS series of coupled atmosphere-ocean models, which provides the ability to simulate many different configurations of Earth System Models - including interactive atmospheric chemsitry, aerosols, carbon cycle and other tracers, as well as the standard atmosphere, ocean, sea ice and...","http://www.giss.nasa.gov/tools/modelE/"
"MFDrouting","Initial metadata was retrieved from http://csdms.colorado.edu/wiki/Model:MFDrouting","https://github.com/csdms-contrib/mfdrouting"
"SPARROW","SPARROW (SPAtially Referenced Regressions On Watershed attributes) is a watershed modeling technique for relating water-quality measurements made at a network of monitoring stations to attributes of the watersheds containing the stations. The core of the model consists of a nonlinear regression e...","http://water.usgs.gov/nawqa/sparrow/"
"CarboCAT","CarboCAT uses a cellular automata to model horizontal and vertical distributions of carbonate lithofacies","https://github.com/csdms-contrib/carbocat"
"ADI-2D","Initial metadata was retrieved from http://csdms.colorado.edu/wiki/Model:ADI-2D","https://github.com/csdms-contrib/adi-2d"
"YANGs","Calculates the total sediment transport rate in an open channel assuming a median bed grain size","https://github.com/csdms-contrib/yangs"
"CBOFS2","This is a special case of the Regional Ocean Modeling System(ROMS). The National Ocean Service presently has an Operational Forecast System (CBOFS) for the Chesapeake Bay which generates only water levels and depth‐integrated currents. As a next generation system, a fully three‐dimensional, baroc...","https://www.myroms.org/index.php?page=login"
"PIHM","PIHM is a multiprocess, multi-scale hydrologic model where the major hydrological processes are fully coupled using the semi-discrete finite volume method. PIHM is a physical model for surface and groundwater, “tightly-coupled” to a GIS interface. PIHMgis which is open source, platform independen...","http://sourceforge.net/projects/pihmmodel/"
"WBMsed","An extension of the WBMplus (WBM/WTM) model. Introduce a riverine sediment flux component based on the BQART and Psi models.","https://github.com/csdms-contrib/wbmsed"
"ENTRAINH","Calculates the critical Shields Theta for the median size of a distribution and then calculates the critical shear stress of the ith, jth fraction using a hiding function","https://github.com/csdms-contrib/midas"
"DR3M","DR3M is a watershed model for routing storm runoff through a Branched system of pipes and (or) natural channels using rainfall as input. DR3M provides detailed simulation of storm-runoff periods selected by the user. There is daily soil-moisture accounting between storms. A drainage basin is repr...","http://water.usgs.gov/software/DR3M/"
"Iceages","Initial metadata was retrieved from http://csdms.colorado.edu/wiki/Model:Iceages","https://github.com/csdms-contrib/iceages"
"TopoFlow-Infiltration-Richards 1D","This process component is part of a spatially-distributed hydrologic model called TopoFlow, but it can now be used as a stand-alone model.","https://github.com/peckhams/topoflow"
"FUNDY","It solves the linearized shallow water equations forced by tidal or other barotropic boundary conditions, wind or a density gradient using linear finite elements.","http://www-nml.dartmouth.edu/Software/fundy/"
"BackwaterCalculator","Program for backwater calculations in open channel flow","https://github.com/csdms-contrib/stm"
"WACCM-CARMA","WACCM is NCAR's atmospheric high-altitude model; CARMA is Brian Toon's aerosol microphysical sectional model. I'm studying sulfate aerosols in the UTLS region using this coupled model.","http://www.cesm.ucar.edu/working_groups/WACCM/"
"Alpine3D","Alpine3D is a model for high resolution simulation of alpine surface processes, in particular snow processes. The model can be driven by measurements from automatic weather stations or by meteoro-logical model outputs. The core three-dimensional Alpine3D modules consist of a radiation balance mod...","http://models.slf.ch/"
"CREST","The Coupled Routing and Excess STorage (CREST) distributed hydrological model is a hybrid modeling strategy that was recently developed by the University of Oklahoma (http://hydro.ou.edu) and NASA SERVIR Project Team. CREST simulates the spatiotemporal variation of water and energy fluxes and sto...","http://hydro.ou.edu/Model/CREST/CREST_downloads.html"
"Compact","Compact a sediment column","https://github.com/mcflugen/sedflux"
"SWAN","SWAN is a third-generation wave model that computes random, short-crested wind-generated waves in coastal regions and inland waters.","http://swanmodel.sourceforge.net/download/info.htm"
"Sedflux","Sedflux-2.0 is the newest version of the Sedflux basin-filling model. Sedflux-2.0 provides a framework within which individual process-response models of disparate time and space resolutions communicate with one another to deliver multi grain sized sediment load across a continental margin.","https://github.com/mcflugen/sedflux"
"GSDCalculator","Grain Size Distribution Statistics Calculator","https://github.com/csdms-contrib/stm"
"LavaFlow2D","Initial metadata was retrieved from http://csdms.colorado.edu/wiki/Model:LavaFlow2D","https://github.com/csdms-contrib/lavaflow2d"
"LOAM","The original Gent-Cane model (Gent and Cane, 1989) was developed for modeling the equatorial pacific on a stretched longitude/latitude A-grid. Fourth order approximations to horizontal spatial derivatives combined with a fourth order (in time) Lorenz cycle provided a high order discretization adv...","http://rainbow.ldeo.columbia.edu//loam/NEW/"
"LEMming","LEMming tracks regolith and sediment fluxes, including bedrock erosion by streams and rockfall from steep slopes. Initial landscape form and stratigraphic structure are prescribed. Model grid cells with slope angles above a threshold, and which correspond to the appropriate rock type, are designa...","https://github.com/csdms-contrib/lemming"
